tweetid,sentiment
169760,2
35326,0
224985,1
476263,2
872928,1
75639,1
211536,1
569434,1
315368,2
591733,2
91983,-1
67249,-1
143459,2
663535,1
20476,0
815297,0
274098,1
30045,2
681487,0
708966,2
393689,2
186705,2
233977,0
525794,1
863649,1
315964,1
588985,-1
669979,2
137059,-1
556915,1
951973,1
72939,-1
205796,1
478581,1
453375,2
555551,1
219030,-1
546209,-1
416919,1
433824,2
621526,-1
616108,1
70943,-1
153248,-1
854719,1
616444,1
118418,2
846132,-1
443106,1
758958,2
376412,2
667731,-1
222107,2
349545,1
284026,2
564727,-1
522979,2
460970,0
371750,2
251299,0
485211,-1
502976,1
623282,-1
217605,0
225330,-1
58854,-1
723671,2
366409,0
704565,0
655925,0
717618,0
922449,2
729885,2
599133,2
89885,1
249039,1
440750,1
18663,2
314549,-1
643414,1
61835,2
659073,1
178597,-1
152298,2
581943,1
781913,1
336886,1
624852,1
655116,2
5591,-1
731620,2
872882,2
320393,1
353463,1
816508,2
636325,1
53058,2
725589,-1
693559,-1
66255,1
218797,0
307092,1
188557,0
137392,-1
597086,1
96006,-1
330509,2
78639,-1
536231,1
304814,1
553696,0
455898,-1
745466,2
846719,2
722710,2
989172,2
492079,-1
315869,1
32675,1
959684,-1
641938,1
933443,1
458401,1
554994,1
461467,1
902353,-1
178794,0
387356,-1
380276,2
824355,-1
685606,-1
85488,-1
50608,1
447977,-1
943930,2
183083,1
359626,2
810128,-1
380913,0
516209,1
993538,0
594772,1
22428,-1
991876,-1
504172,2
283272,1
914599,0
752129,-1
701957,2
858489,-1
221704,2
409406,2
468372,-1
818509,0
204729,1
394896,1
397593,-1
465474,2
450344,2
502719,1
816499,1
291002,-1
301225,2
402773,2
81233,2
642569,1
900041,1
67900,-1
237131,0
311030,1
975455,1
69232,1
156024,1
268543,2
586693,1
709157,1
582003,0
689136,1
953619,2
971710,0
809619,0
595597,-1
274499,2
771063,2
597739,2
110053,2
723442,1
881554,2
704923,-1
822018,0
505322,2
120776,0
404757,2
811053,-1
317696,-1
734766,1
841196,2
400682,0
649511,-1
740566,2
798359,1
861578,0
5417,2
609894,1
174874,2
227482,1
316886,2
112798,2
44507,1
444423,1
878768,1
951095,1
970445,1
208227,1
545402,0
498559,1
454769,2
490905,-1
343981,-1
891649,2
794296,2
669149,2
104997,1
54711,2
756770,1
632633,2
882503,-1
604089,2
37591,2
304290,0
167356,-1
398680,1
268980,0
485450,2
246743,-1
83632,-1
804653,2
614272,1
699619,-1
128361,-1
617614,1
756863,2
550624,2
971913,1
597102,1
468901,1
512603,2
869,2
135515,-1
471002,2
76054,1
835455,0
593722,-1
209903,-1
311687,2
38624,-1
140169,2
50739,1
134179,-1
368885,1
955073,-1
642519,-1
849811,1
377434,-1
61946,1
128149,-1
545779,2
145812,1
839220,-1
23630,2
631635,2
659284,1
636800,0
246233,1
224961,-1
227170,-1
24500,0
444613,2
173797,-1
183700,1
305251,-1
487336,0
521403,2
741971,-1
171732,2
354162,2
572875,-1
337961,1
39327,1
666488,1
686787,-1
248289,1
644357,2
106812,2
492300,1
929522,-1
827492,-1
92888,-1
748860,-1
544547,1
970736,1
805808,1
320551,1
210944,1
109631,-1
251292,1
170364,1
948426,2
780776,-1
693604,1
799998,2
373943,0
593149,2
264289,2
479344,0
820909,1
492817,1
831733,1
405413,0
685176,-1
982870,1
92655,0
929710,-1
365298,1
597644,1
908494,1
532450,-1
431470,-1
261786,1
126953,1
157454,2
911863,2
968491,2
341684,-1
868000,1
937870,2
196243,2
749947,1
10201,2
861465,2
418775,-1
561942,1
61831,2
224428,2
470738,1
694377,-1
557591,1
504856,0
988980,2
811937,-1
78955,1
166783,1
2520,0
268418,2
911873,2
380946,0
841067,-1
760341,2
872864,2
833511,0
795400,0
947288,1
97754,-1
848402,0
77036,2
280663,-1
654324,1
105628,1
227665,-1
169839,1
334216,-1
502105,1
174279,2
193681,2
457324,-1
562231,2
254480,2
432635,0
916814,-1
217862,1
454694,1
512554,-1
249736,2
979904,-1
841942,2
141852,2
279014,2
511552,1
502057,0
822243,2
586976,2
870627,-1
809260,1
258979,-1
342572,1
833715,2
63205,1
327,1
286773,2
831328,1
265516,2
988076,2
92963,2
813089,-1
372840,2
460869,2
700900,2
54421,1
83811,-1
932229,2
14731,2
416245,2
91717,1
37782,-1
168950,1
791767,2
612474,1
863569,-1
833620,2
831050,0
327186,2
70954,-1
744906,-1
410805,1
321290,0
560166,-1
199999,1
520958,-1
