sentiment,Retweets
-1,
-1,
-1,"RT @SteveSGoddard: We had winds close to  MPH in the area this afternoon. I would blame climate change, except that this happens pr… "
-1,
-1,"RT @DawnDawn: This is ONE of Arnold Schwarzenegger's vehicles. He is now whining about climate change.
How's his maid...illegal or
http…"
-1,RT @Fruitloopian: Why is there snow in March if we have global warming?
-1,
-1,
-1,
-1,"RT @signordal: New global warming study is terrible news for alarmists, good news for plants, animals an... https://…"
-1,
-1,RT @CharlieDaniels: I'm not worried about global warming but I'm terrified about global government.
-1,
-1,"RT @Carbongate: Physicist - CO does not cause climate change, it RESPONDS to it - Video "
-1,
-1,RT @tamorley: @ZekeJMiller But why a carbon tax? Isn't all that climate change stuff is hokum?
-1,"RT @Mike_Beacham: Fed scientist cooked climate change books ahead of Obama presentation 
#NoMoreSCAMS
#NoMoreDEMOCRATS
#DrainTheSwamp 
http…"
-1,RT @CounterMoonbat: The people who predicted parts of Manhattan would be underwater by  due to climate change are concerned about 'fakeÃ¢â‚¬Â¦
-1,
-1,RT @MR_BREXIT: Good news that @realDonaldTrump is looking to ditch the Paris agreement and bust open the climate change #myth #maga #stepfoÃ¢â‚¬Â¦
-1,
-1,RT @Uniocracy: They'll tell you theyre doing it to save you from global warming. Theyre lying  #OpChemtrails
-1,RT @newsfakenews: TODD STARNES: Hey NPR — Take your global warming nonsense about kids and blow it out your F- tailpipe …
-1,
-1,RT @CounterMoonbat: The people who predicted parts of Manhattan would be underwater by  due to climate change are concerned about 'fakeÃ¢â‚¬Â¦
-1,RT @realDonaldTrump: The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.
-1,
-1,"RT @HarmlessYardDog:  kids aged  to  are suing the Trump over climate change ������

&gt;Leftist are a Disease "
-1,
-1,
-1,RT @RandomSavage: @FrMatthewLC Crazy how two days ago people were going bezerk about 'global warming' then a blizzard hits
-1,RT @katieworth: My story on the campaign to persuade every science teacher in the U.S that climate change is debatable @frontlinepbs https:…
-1,
-1,RT @AlbertStienstra: @ClimateRealists The almost % Democrat vote of the very young is caused by climate change scaremongering and indoctÃ¢â‚¬Â¦
-1,
-1,RT @CounterMoonbat: The people who predicted parts of Manhattan would be underwater by  due to climate change are concerned about 'fakeÃ¢â‚¬Â¦
-1,"RT @DanielJHannan: People who accept 'the scientific consensus' on climate change often dismiss 'the scientific consensus' on, say, frackin…"
-1,RT @TuckerCarlson: Forget about its poverty or exploding crime rate... the mayor of New Orleans is making climate change a top priorit…
-1,
-1,
-1,RT @PrisonPlanet: A bunch of Oxford elitists want to tax the food of poor people because 'climate change'. How about fuck off instead? httpÃ¢â‚¬Â¦
-1,RT @DineshDSouza: THOUGHT FOR THE DAY: If gender is a social construct--which is to say 'all in your head'-- maybe climate change is too
-1,RT @ClimateTruthNow: George Clooney claims that man-made global warming must exist because liberals agree that it exists: Ã¢â‚¬Â¦
-1,
-1,RT @BIKERDAVE: Question Al Gore on climate change and he'll call you a 'denier' | Climate Change Dispatch  via @c…
-1,
